 27-04-2024 21:53:57, GPU temperature     ,GPU usage (%)          ,Memory usage  (%)    ,Power percent  (%)   ,Power (W)     ,Fan speed (%)       ,Fan tachometer(RPM)   ,CPU temperature  (C )   ,CPU usage (%)        ,CPU power (W)         ,Framerate (FPS)         ,TOutside ( C),Texhaust ( C),Tinternal ( C)
 27-04-2024 22:04:46,53,82,5876.273,51,66.57,55,1343,100,100,16.947,33.9,20.8,22.9,23.3
 27-04-2024 22:04:47,55,94,5857.992,61,98.138,55,1354,100,100,17.315,45.8,20.8,22.9,23.3
 27-04-2024 22:04:48,54,91,5841.297,52,100.62,55,1358,100,100,16.931,45.7,20.8,22.9,23.3
 27-04-2024 22:04:49,54,83,5845.234,56,95.568,53,1359,100,100,17.223,43.1,20.8,22.9,23.3
 27-04-2024 22:04:50,54,86,5846.367,46,81.881,53,1355,100,100,17.121,41.2,20.8,22.9,23.3
 27-04-2024 22:04:51,55,91,5850.602,61,95.106,53,1339,100,100,17.089,43.4,20.8,22.9,23.3
 27-04-2024 22:04:52,56,100,5845.805,69,101.838,53,1335,100,100,17.683,37.6,20.8,22.9,23.3
 27-04-2024 22:04:53,52,39,5828.867,26,36.511,53,1337,100,100,17.456,37.4,20.8,22.9,23.3
 27-04-2024 22:04:54,55,97,5815.961,63,99.206,51,1324,100,100,17.572,37.2,20.8,22.9,23.3
 27-04-2024 22:04:55,56,97,5820.273,66,100.801,51,1315,100,100,17.308,47.9,20.8,22.9,23.3
 27-04-2024 22:04:56,54,99,5826.43,66,96.79,51,1300,100,100,17.695,48.7,20.8,22.9,23.3
 27-04-2024 22:04:57,54,84,5817.695,59,94.691,51,1295,99,100,17.106,43.8,20.8,22.9,23.3
 27-04-2024 22:04:58,56,94,5816.945,63,98.277,51,1285,100,100,16.685,50.8,20.8,22.9,23.3
 27-04-2024 22:04:59,56,97,5816.82,68,95.632,54,1286,100,100,17.187,53.7,20.8,22.9,23.3
 27-04-2024 22:05:00,56,99,5817.711,65,101.204,54,1296,100,100,16.942,52.5,20.8,23.1,23.5
 27-04-2024 22:05:01,56,86,5797.695,62,87.594,54,1302,100,100,16.606,47.5,20.8,23.1,23.5
 27-04-2024 22:05:02,56,97,5804.18,73,98.834,54,1312,100,99.997,16.845,43.9,20.8,23.1,23.5
 27-04-2024 22:05:03,56,97,5791.367,65,99.934,54,1323,100,92.196,17.263,48.2,20.8,23.1,23.5
 27-04-2024 22:05:04,56,70,5803.602,68,106.35,55,1332,100,100,16.338,49.5,20.8,23.1,23.5
 27-04-2024 22:05:05,56,90,5803.898,70,107.449,55,1341,100,100,16.392,39.5,20.8,23.1,23.5
