 24-04-2024 21:20:00, GPU temperature     ,GPU temperature 2   ,GPU usage           ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,T outside (C ),T Exhaust (C ),T Internal (C )
 24-04-2024 21:21:34,49,63,90,126,49,2336,68,30.862,53.729,59.9,22.6,29.3,26.3
 24-04-2024 21:21:35,50,64,80,135,49,2336,65,30.898,49.786,59.9,22.6,29.3,26.3
 24-04-2024 21:21:36,50,61,83,127,50,2357,63,29.999,45.934,59.9,22.6,29.3,26.3
 24-04-2024 21:21:37,49,66,86,128,50,2370,63,28.987,43.073,59.9,22.6,29.3,26.3
 24-04-2024 21:21:38,49,60,80,117,50,2375,61,30.517,44.733,59.9,22.6,29.3,26.3
 24-04-2024 21:21:39,49,60,82,115,50,2375,63,31.703,38.345,59.9,22.6,29.3,26.3
 24-04-2024 21:21:40,49,59,71,107,50,2376,64,30.184,41.189,59.9,22.6,29.3,26.3
 24-04-2024 21:21:41,49,62,62,129,49,2364,63,28.604,42.194,59.9,22.6,29.3,26.3
 24-04-2024 21:21:42,49,54,70,89,49,2351,62,30.952,47.623,59.9,22.6,29.3,26.3
 24-04-2024 21:21:43,48,58,77,109,49,2345,66,30.189,39.551,59.9,22.6,29.3,26.3
 24-04-2024 21:21:44,49,63,81,129,49,2343,66,29.91,48.49,59.9,22.6,29.3,26.3
 24-04-2024 21:21:45,48,58,81,110,49,2348,67,29.496,48.607,59.9,22.6,29.3,26.3
 24-04-2024 21:21:46,49,61,83,125,49,2344,64,26.339,44.432,59.9,22.6,29.3,26.3
 24-04-2024 21:21:47,49,61,84,127,49,2345,68,25.498,43.827,59.9,22.6,29.3,26.3
 24-04-2024 21:21:48,48,56,82,82,49,2340,66,32.072,48.237,59.9,22.6,29.3,26.3
 24-04-2024 21:21:49,49,61,68,115,49,2338,62,30.317,42.166,59.9,22.6,29.3,26.3
 24-04-2024 21:21:50,48,56,58,101,49,2348,63,33.115,42.02,59.9,22.6,29.3,26.3
 24-04-2024 21:21:51,49,61,68,133,49,2342,65,35.55,54.555,59.9,22.6,29.3,26.3
 24-04-2024 21:21:52,49,61,82,119,49,2342,63,34.135,53.512,59.9,22.6,29.3,26.3
 24-04-2024 21:21:53,48,53,88,76,49,2345,63,33.765,49.701,59.9,22.6,29.3,26.3
 24-04-2024 21:21:54,49,63,84,127,49,2345,65,31.796,46.557,59.9,22.6,29.3,26.3
 24-04-2024 21:21:55,48,56,72,106,49,2341,61,35.115,41.61,59.9,22.6,29.3,26.3
 24-04-2024 21:21:56,48,56,73,98,49,2347,63,31.993,36.203,59.9,22.6,29.3,26.3
 24-04-2024 21:21:57,49,61,70,123,49,2345,65,33.371,45.925,59.9,22.6,29.3,26.3
 24-04-2024 21:21:58,49,59,70,119,49,2344,67,30.617,49.918,59.9,22.6,29.3,26.3
 24-04-2024 21:21:59,49,58,88,114,49,2338,72,31.044,50.01,58.9,22.6,29.3,26.3
 24-04-2024 21:22:00,49,58,91,116,49,2339,66,36.588,56.615,59.9,22.6,29.7,26.5
 24-04-2024 21:22:01,48,53,90,77,49,2345,62,28.422,40.983,59.9,22.6,29.7,26.5
 24-04-2024 21:22:02,49,60,77,116,49,2348,62,29.782,46.169,59.9,22.6,29.7,26.5
 24-04-2024 21:22:03,48,58,62,106,49,2347,67,29.099,47.112,59.9,22.6,29.7,26.5
 24-04-2024 21:22:04,48,57,72,108,49,2345,64,32.623,51.776,59.9,22.6,29.7,26.5
 24-04-2024 21:22:05,48,57,65,97,49,2344,68,32.968,45.329,59.8,22.6,29.7,26.5
 24-04-2024 21:22:06,49,59,61,109,49,2345,63,33.464,49.732,59.9,22.6,29.7,26.5
 24-04-2024 21:22:07,48,60,66,121,49,2341,67,31.806,45.403,59.9,22.6,29.7,26.5
 24-04-2024 21:22:08,49,61,61,126,49,2345,64,31.501,46.218,59.9,22.6,29.7,26.5
 24-04-2024 21:22:09,48,59,75,101,49,2343,64,29.292,37.107,59.9,22.6,29.7,26.5
 24-04-2024 21:22:10,48,54,80,97,49,2347,65,27.704,36.737,59.3,22.6,29.7,26.5
 24-04-2024 21:22:11,49,63,86,133,49,2341,64,30.347,45.392,58.9,22.6,29.7,26.5
 24-04-2024 21:22:12,49,60,82,118,49,2347,63,30.095,47.637,59.9,22.6,29.7,26.5
 24-04-2024 21:22:13,49,62,83,125,49,2345,72,29.338,47.111,59.9,22.6,29.7,26.5
 24-04-2024 21:22:14,48,55,92,99,49,2344,64,30.062,44.455,59.9,22.6,29.7,26.5
 24-04-2024 21:22:15,48,58,79,115,49,2342,66,28.059,45.413,59.9,22.6,29.7,26.5
 24-04-2024 21:22:16,48,57,73,109,49,2341,65,29.543,45.104,59.9,22.6,29.7,26.5
 24-04-2024 21:22:17,49,59,62,114,49,2345,62,28.416,43.135,59.9,22.6,29.7,26.5
 24-04-2024 21:22:18,48,56,56,100,49,2347,66,29.926,44.899,59.9,22.6,29.7,26.5
 24-04-2024 21:22:19,48,59,70,115,49,2350,67,29.548,45.362,59.9,22.6,29.7,26.5
 24-04-2024 21:22:20,48,59,74,117,49,2342,63,29.93,47.291,59.9,22.6,29.7,26.5
 24-04-2024 21:22:21,49,60,70,115,49,2344,63,30.675,44.051,59.9,22.6,29.7,26.5
 24-04-2024 21:22:22,48,60,65,118,49,2341,60,25.944,40.227,59.9,22.6,29.7,26.5
 24-04-2024 21:22:23,49,61,61,124,49,2341,70,29.927,43.312,59.9,22.6,29.7,26.5
